Starhill_Accession_number,Longitude,Latitude,Species_Name,Genus,Species,Subspecific,Parentage,Year_Died,New_Compartment,Old_Compartment,Lot,Year_Outplanted
2021-012,-89.8004,39.93306,Quercus macrocarpa,Quercus,macrocarpa,,,,C7,OOC,112,2021
2010-098,-89.80045823,39.93462807,Quercus macrolepis,Quercus,macrolepis,,,,C3,C,2,2010
2011-018,-89.80235992,39.93322972,Quercus margaretta,Quercus,margaretta,,,,A5,OOA,4,2011
2008-055,-89.80203333,39.9332,Quercus margaretta,Quercus,margaretta,,,,A5,OOA,2,2008
2009-177,-89.802,39.93283333,Quercus margaretta,Quercus,margaretta,,,,A6,OOOA,3,2009
1983-027,-89.80214794,39.93529209,Quercus marilandica,Quercus,marilandica,,,,A2,AA,3,1983
2008-056,-89.80211667,39.93296667,Quercus marilandica,Quercus,marilandica,,,,A6,OOOA,4,2008
2016-028,-89.80188441,39.93214049,Quercus marilandica,Quercus,marilandica,ashei,,,A7,OOOOA,2,2016
2001-045,-89.80028389,39.93600765,Quercus marilandica,Quercus,marilandica,ashei,,,C1,CCC,1,2001
1991-020,-89.80144,39.935704,Quercus mexicana,Quercus,mexicana,,,,Oak Street,Oak Street,2,1991
1983-028,-89.80227535,39.93510115,Quercus michauxii,Quercus,michauxii,,,,A2,AA,2,1983
1981-028,-89.80226789,39.93513568,Quercus michauxii,Quercus,michauxii,,,,A2,AA,1,1981
2005-066,-89.80217854,39.93328404,Quercus michauxii,Quercus,michauxii,,,,A5,OOA,3,2005
2011-038,-89.80211609,39.93251785,Quercus michauxii,Quercus,michauxii,,,,A6,OOOA,5,2011
2014-076,-89.80162273,39.93241517,Quercus michauxii,Quercus,michauxii,,,,B7,OOOOB,2,2014
2020-020,-89.80178462,39.93198687,Quercus michauxii,Quercus,michauxii,,,,,,6,
2003-041,-89.80144,39.935704,Quercus minima,Quercus,minima,,,,Oak Street,Oak Street,1,2003
2013-099,-89.80144,39.935704,Quercus minima,Quercus,minima,,,,Oak Street,Oak Street,2,2013
2002-042,-89.8011567,39.93537323,Quercus mohriana,Quercus,mohriana,,,,B2,BB,1,2002
2005-067,-89.80077,39.935196,Quercus mohriana,Quercus,mohriana,,,,C2,CC,2,2005
2020-021,39.93389803,-89.80141653,Quercus mohriana,Quercus,mohriana,, ?,,,,3,
2000-035,-89.80119986,39.93410513,Quercus mongolica,Quercus,mongolica,,,,B4,OB,3,2000
2001-046,-89.80112149,39.93411418,Quercus mongolica,Quercus,mongolica,,,,B4,OB,2,2001
1981-029,-89.80211039,39.93531841,Quercus montana,Quercus,montana,,,,A2,AA,1,1981
1982-033,-89.80205675,39.93517156,Quercus montana,Quercus,montana,,,,A2,AA,3,1982
2010-108,-89.80183756,39.93282965,Quercus montana,Quercus,montana,,,,A6,OOOA,4,2010
1988-013,-89.80233285,39.93521154,Quercus muehlenbergii,Quercus,muehlenbergii,,,,A2,AA,3,1988
2012-019,-89.80224182,39.93257124,Quercus muehlenbergii,Quercus,muehlenbergii," ""Small Nut""",,,A6,OOOA,8,2012
2009-179,-89.80205,39.93276667,Quercus muehlenbergii,Quercus,muehlenbergii,,,,A6,OOOA,7,2009
2015-026,-89.80201023,39.93217436,Quercus muehlenbergii,Quercus,muehlenbergii,,,,A7,OOOOA,8,2015
2011-039,-89.80197435,39.93245155,Quercus muehlenbergii,Quercus,muehlenbergii,brayii,,,A6,OOOA,2,2011
2015-090,-89.80163556,39.93237024,Quercus muehlenbergii,Quercus,muehlenbergii,,,,B7,OOOOB,9,2015
2000-036,-89.80110733,39.9340892,Quercus muehlenbergii,Quercus,muehlenbergii,brayii,,,B4,OB,1,2000
2002-043,-89.80016897,39.93611,Quercus muehlenbergii,Quercus,muehlenbergii,brayii,,,D1,DDD,1,2002
2001-048,-89.80010661,39.93611561,Quercus muehlenbergii,Quercus,muehlenbergii,,,,D1,DDD,5,2001
2001-047,-89.79976715,39.9352739,Quercus muehlenbergii,Quercus,muehlenbergii,,,,D2,DD,4,2001
2004-077,-89.80241901,39.93362887,Quercus muehlenbergii_stellata,Quercus,,,muehlenbergii_stellata F2,,A5,OOA,1,2004
2016-106,-89.801436,39.935728,Quercus multinervis,Quercus,multinervis,,,,Oak Street,Oak Street,1,2016
2016-107,-89.801436,39.935728,Quercus multinervis,Quercus,multinervis,,,,Oak Street,Oak Street,1,2016
1995-025,-89.80144,39.935704,Quercus myrtifolia,Quercus,myrtifolia,,,,Oak Street,Oak Street,1,1995
1995-047,-89.80144,39.935704,Quercus myrtifolia,Quercus,myrtifolia,,,,Oak Street,Oak Street,1,1995
2006-058,-89.80241834,39.93345469,Quercus nuttallii,Quercus,nuttallii, 'New Madrid',,,A5,OOA,1,2006
2019-014,-89.80234,39.93214,Quercus nuttallii,Quercus,nuttallii,,New Madrid north tree,,A7,OOOOA,4,2019
2004-043,-89.80224308,39.93343474,Quercus nuttallii,Quercus,nuttallii, 'New Madrid',,,A5,OOA,1,2004
1981-030,-89.80216286,39.93516519,Quercus nuttallii,Quercus,nuttallii,cachensis,,,A2,AA,1,1981
2013-102,-89.80206597,39.93309855,Quercus nuttallii,Quercus,nuttallii,,,,A5,OOA,3,2013
2007-038,-89.80135988,39.93479731,Quercus nuttallii,Quercus,nuttallii, 'New Madrid',,,B3,B,1,2007
2006-059,-89.80231474,39.93334103,Quercus oglethorpensis,Quercus,oglethorpensis,,,,A5,OOA,2,2006
2005-068,-89.80212372,39.93329183,Quercus oglethorpensis,Quercus,oglethorpensis,,,,A5,OOA,2,2005
2006-060,-89.80144,39.935704,Quercus oleoides,Quercus,oleoides,,,,Oak Street,Oak Street,1,2006
2015-027,-89.80224358,39.93228206,Quercus pagoda,Quercus,pagoda,,,,A7,OOOOA,3,2015
1984-011,-89.80220318,39.93524599,Quercus pagoda,Quercus,pagoda,,,,A2,AA,1,1984
2020-023,-89.80182067,39.93183083,Quercus pagoda,Quercus,pagoda,,,,,,3,
1982-034,-89.80237685,39.93517835,Quercus palustris,Quercus,palustris,,,,A2,AA,3,1982
1978-055,-89.80207887,39.93529486,Quercus palustris,Quercus,palustris,,,,A2,AA,4,1979
2020-024,-89.80200887,39.93182843,Quercus palustris,Quercus,palustris,,,,,,3,
2005-069,-89.80133842,39.93358771,Quercus pedunculiflora,Quercus,pedunculiflora,,,,B5,OOB,2,2005
2003-042,-89.80133062,39.93320357,Quercus pedunculiflora,Quercus,pedunculiflora,,,,B5,OOB,2,2003
2011-074,-89.80123968,39.93264031,Quercus pedunculiflora,Quercus,pedunculiflora,,,,B6,OOOB,4,2011
2004-045,-89.80108277,39.93337423,Quercus pedunculiflora,Quercus,pedunculiflora,,,,B5,OOB,3,2004
2005-075,-89.80177386,39.93348084,Quercus petraea,Quercus,petraea,,,,A5,OOA,4,2005
2007-039,-89.80171116,39.93341479,Quercus petraea,Quercus,petraea,,,,B5,OOB,11,2007
2016-029,-89.80162399,39.93217134,Quercus petraea,Quercus,petraea,Muscaviensis',F2 ( pubescens?),,B7,OOOOB,1,2016
2005-071,-89.80160999,39.93333466,Quercus petraea,Quercus,petraea,,,,B5,OOB,6,2005
2004-047,-89.80159348,39.93358134,Quercus petraea,Quercus,petraea,,,,B5,OOB,5,2004
2004-075,-89.80159,39.93351,Quercus petraea,Quercus,petraea,, 'Insecata'  F2,,B5,OOB,9,2004
2005-072,-89.80157227,39.93326677,Quercus petraea,Quercus,petraea,,petraea 'Cucullata' F2,,B5,OOB,7,2005
2005-070,-89.80154201,39.93332142,Quercus petraea,Quercus,petraea,,petraea ' Cochleata' F2,,B5,OOB,10,2005
2017-027,-89.80147705,39.93201594,Quercus petraea,Quercus,petraea,,,,B7,OOOOB,12,2017
2011-036,-89.80145702,39.93261063,Quercus petraea,Quercus,petraea,pinnatiloba,,,B6,OOOB,1,2011
2017-028,-89.8014354,39.93205751,Quercus petraea,Quercus,petraea,,,,B7,OOOOB,13,2017
2015-029,-89.80138821,39.93238843,Quercus petraea,Quercus,petraea,Muscaviensis',F2 ( pubescens?),,B7,OOOOB,1,2015
2001-049,-89.8013131,39.93419532,Quercus petraea,Quercus,petraea, 'Mespilifolia',,,B4,OB,1,2001
1982-035,-89.80237023,39.93503602,Quercus phellos,Quercus,phellos,,,,A2,AA,1,1982
1991-021,-89.8023269,39.93499403,Quercus phellos,Quercus,phellos,,,,A2,AA,2,1991
2017-058,-89.80219421,39.93199138,Quercus phellos,Quercus,phellos,,,,A7,OOOOA,4,2017
1999-065,-89.80144,39.935704,Quercus phillyreiodes,Quercus,phillyreiodes,,,,Oak Street,Oak Street,4,1999
2001-050,-89.80144,39.935704,Quercus phillyreiodes,Quercus,phillyreiodes,,,,Oak Street,Oak Street,2,2001
2003-045,-89.80144,39.935704,Quercus phillyreiodes,Quercus,phillyreiodes,,,,Oak Street,Oak Street,4,2003
2003-046,-89.80114756,39.93349149,Quercus polycarpa,Quercus,polycarpa,,,,B5,OOB,1,2003
2006-063,-89.80144,39.935704,Quercus polymorpha,Quercus,polymorpha,,,,Oak Street,Oak Street,2,2006
2006-102,-89.80144,39.935704,Quercus polymorpha,Quercus,polymorpha,,,,Oak Street,Oak Street,2,2006
2004-050,-89.8020834,39.93233034,Quercus prinoides,Quercus,prinoides,,,,C3,C,2,2004
1994-064,-89.80202833,39.93492924,Quercus prinoides,Quercus,prinoides,,,,A2,AA,1,1994
2018-044,-89.80124027,39.93399038,Quercus prinoides,Quercus,prinoides,,,,B4,OB,6,2018
2009-183,-89.80043,39.934568,Quercus prinoides,Quercus,prinoides,,,,C3,C,4,2009
2009-184,-89.80041649,39.93459103,Quercus prinoides,Quercus,prinoides_?,,,,C3,C,1,2009
2009-182,-89.80037827,39.93459606,Quercus prinoides,Quercus,prinoides,,,,C3,C,5,2009
2006-065,-89.79957805,39.93608418,Quercus prinoides,Quercus,prinoides,,,,D1,DDD,3,2006
2021-006,-89.8004,39.93459,Quercus prinoides,Quercus,prinoides,,,,,,NA,2021
2021-007,-89.8005,39.93462,Quercus prinoides,Quercus,prinoides,,,,,,NA,2021
2008-059,-89.80171778,39.93321665,Quercus pubescens,Quercus,pubescens, 'Migazziana',,,B5,OOB,1,2008
2005-078,-89.80166129,39.93337431,Quercus pubescens,Quercus,pubescens,,,,B5,OOB,4,2005
2005-077,-89.80164092,39.93338462,Quercus pubescens,Quercus,pubescens,,,,B5,OOB,5,2005
2004-052,-89.80162709,39.93350591,Quercus pubescens,Quercus,pubescens,,,,B5,OOB,4,2004
2004-053,-89.80156196,39.93348068,Quercus pubescens,Quercus,pubescens,,,,B5,OOB,3,2004
2009-185,-89.80141667,39.93286667,Quercus pubescens,Quercus,pubescens,,,,B6,OOOB,6,2009
2002-044,-89.80121084,39.93385476,Quercus pubescens,Quercus,pubescens,var. undulata,,,B4,OB,1,2002
2004-051,-89.80119391,39.93348093,Quercus pubescens,Quercus,pubescens,var. crispata,,,B5,OOB,1,2004
2003-047,-89.80117229,39.93383498,Quercus pubescens,Quercus,pubescens,,,,B4,OB,3,2003
2004-054,-89.80144,39.935704,Quercus pumila,Quercus,pumila,,,,Oak Street,Oak Street,1,2004
1996-039,-89.80144,39.935704,Quercus pungens,Quercus,pungens,,,,Oak Street,Oak Street,2,1996
2011-023,-89.80128536,39.93400069,Quercus pungens,Quercus,pungens,,,,B4,OB,1,2011
2008-060,-89.80062193,39.93516041,Quercus pungens,Quercus,pungens,,,,C2,CC,1,2008
2007-040,-89.80189053,39.93325755,Quercus pyrenaica,Quercus,pyrenaica,,,,A5,OOA,3,2007
2005-079,-89.80158342,39.93342527,Quercus pyrenaica,Quercus,pyrenaica,,,,B5,OOB,2,2005
2009-187,-89.8015,39.93295,Quercus pyrenaica,Quercus,pyrenaica,,,,B6,OOOB,3,2009
2011-061,-89.8012209,39.93270133,Quercus pyrenaica,Quercus,pyrenaica,,,,B6,OOOB,4,2011
2001-054,-89.80120732,39.93400572,Quercus pyrenaica,Quercus,pyrenaica,,,,B4,OB,1,2001
2001-053,-89.80079158,39.93462858,Quercus pyrenaica,Quercus,pyrenaica,,,,C3,C,1,2001
1995-027,-89.80144,39.935704,Quercus resinosa,Quercus,resinosa,,,,Oak Street,Oak Street,1,1995
2016-108,-89.801436,39.935728,Quercus rhysophylla,Quercus,rhysophylla,,,,Oak Street,Oak Street,2,2016
2008-062,-89.80233333,39.9329,Quercus robur,Quercus,robur, 'Albomarginata',,,A6,OOOA,1,2008
2008-063,-89.8023,39.93288333,Quercus robur,Quercus,robur, 'Henzei',,,A6,OOOA,1,2008
1995-029,-89.8021606,39.93488724,Quercus robur,Quercus,robur, 'Filicifolia',,,A2,AA,1,1995
2003-052,-89.80184477,39.93546065,Quercus robur,Quercus,robur , 'Fastigiata',,,A2,AA,4,2003
2011-033,-89.80184024,39.9354806,Quercus robur,Quercus,robur, 'Cupressoides',,,A2,AA,1,2011
2007-042,-89.8018394,39.93333416,Quercus robur,Quercus,robur, 'Irtha',,,A5,OOA,1,2007
2010-114,-89.80171401,39.93544942,Quercus robur,Quercus,robur, 'Fastigiata',,,B2,BB,5,2010
2010-113,-89.80157923,39.93271633,Quercus robur,Quercus,robur, 'Concordia',,,B6,OOOB,2,2010
2009-188,-89.8014,39.93291667,Quercus robur,Quercus,robur,,,,B6,OOOB,5,2009
2019-052,-89.80139,39.93507,Quercus robur,Quercus,robur,Variegata',,,A2,AA,1,2019
2018-026,-89.8013867,39.93193355,Quercus robur,Quercus,robur,,,,B7,OOOOB,16,2018
2010-116,-89.80137647,39.93288699,Quercus robur,Quercus,robur,,,,B6,OOOB,10,2010
2010-117,-89.80136985,39.93291314,Quercus robur,Quercus,robur,,,,B6,OOOB,9,2010
2015-031,-89.80136683,39.93209079,Quercus robur,Quercus,robur,,,,B7,OOOOB,15,2015
2011-043,-89.80136591,39.93264123,Quercus robur,Quercus,robur, 'Compacta',,,B6,OOOB,1,2011
2014-077,-89.80136532,39.93232414,Quercus robur,Quercus,robur,,,,B7,OOOOB,2,2014
2015-030,-89.80136147,39.9348227,Quercus robur,Quercus,robur,fastigiata 'Purpurea',,,B3,B  ,1,2015
2007-041,-89.80135,39.93495,Quercus robur,Quercus,robur, 'Argenteovariegata',,,B2,BB,1,2007
2010-115,-89.8013463,39.93287039,Quercus robur,Quercus,robur,,,,B6,OOOB,11,2010
2004-056,-89.80134579,39.9339307,Quercus robur,Quercus,robur,, 'Pendula' F2,,B4,OB,1,2004
2003-054,-89.80133029,39.93401712,Quercus robur,Quercus,robur ,, 'Salicifolia' F2,,B4,OB,2,2003
2003-048,-89.8013157,39.93386247,Quercus robur,Quercus,robur, 'Cristata',,,B4,OB,2,2003
2011-027,-89.80131528,39.93288238,Quercus robur,Quercus,robur,,,,B6,OOOB,13,2011
2011-035,-89.80131528,39.93288238,Quercus robur,Quercus,robur,,,,B6,OOOB,12,2011
2015-019,-89.80131285,39.93258725,Quercus robur,Quercus,robur,pedunculiflora,,,B6,OOOB,1,2015
2003-049,-89.80129257,39.93376524,Quercus robur,Quercus,robur,, 'Pendula' F2,,B4,OB,1,2003
2015-032,-89.80127128,39.93283284,Quercus robur,Quercus,robur,,,,B6,OOOB,14,2015
2003-050,-89.80121453,39.93327473,Quercus robur,Quercus,robur,,,,B5,OOB,4,2003
2004-057,-89.80114387,39.93332461,Quercus robur,Quercus,robur,,,,B5,OOB,5,2004
2006-067,-89.80114228,39.93322754,Quercus robur,Quercus,robur,, 'Fastigiata' F2,,B5,OOB,7,2006
2003-053,-89.80114069,39.93348872,Quercus robur,Quercus,robur ,, 'Macrophylla' F2,,B5,OOB,1,2003
2005-080,-89.80111948,39.93352745,Quercus robur,Quercus,robur,,,,B5,OOB,4,2005
2006-068,-89.80105771,39.93321899,Quercus robur,Quercus,robur,,,,B5,OOB,8,2006
2001-056,-89.80102401,39.93386239,Quercus robur,Quercus,robur,,,,B4,OB,2,2001
1999-040,-89.80094539,39.93389986,Quercus robur,Quercus,robur,,,,B4,OB,1,1999
1981-036,-89.80224199,39.9353278,Quercus robur_macrocarpa,Quercus,,,robur_macrocarpa,,A2,AA,1,1981
2004-058,-89.80244583,39.93348948,Quercus rubra,Quercus,rubra,,,,A5,OOA,1,2004
2006-069,-89.80235028,39.93339744,Quercus rubra,Quercus,rubra,,,,A5,OOA,4,2006
1994-065,-89.80229245,39.93505639,Quercus rubra,Quercus,rubra,,,,A2,AA,2,1994
2013-013,-89.80202263,39.9324171,Quercus rubra,Quercus,rubra,,,,A7,OOOOA,5,2013
2000-039,-89.80093684,39.93417696,Quercus rubra,Quercus,rubra,"""Yates Red""",,,B4,OB,3,2000
2001-057,-89.79976187,39.93524347,Quercus rubra,Quercus,rubra,"""Yates Red""",,,D2,DD,3,2001
2008-065,-89.8016,39.93288333,Quercus serrata,Quercus,serrata,,,,B5,OOB,4,2008
2008-066,-89.80156667,39.93291667,Quercus serrata,Quercus,serrata,,,,B6,OOOB,5,2008
2005-082,-89.80142,39.93367,Quercus serrata,Quercus,serrata,,,,B5,OOB,3,2005
1997-044,-89.80107003,39.93406749,Quercus serrata,Quercus,serrata,,,,B4,OB,2,1997
2016-109,-89.801436,39.935728,Quercus serrata,Quercus,serrata,,,,Oak Street,Oak Street,6,2016
2006-070,-89.80233528,39.93314607,Quercus shumardii,Quercus,shumardii,,,,A5,OOA,6,2006
2017-029,-89.80231097,39.93228089,Quercus shumardii,Quercus,shumardii,,,,A7,OOOOA,11,2017
2005-083,-89.8022844,39.93346014,Quercus shumardii,Quercus,shumardii,,,,A5,OOA,5,2005
2012-018,-89.80223218,39.93267216,Quercus shumardii,Quercus,shumardii,"""Narrow Acorn""",,,A6,OOOA,10,2012
1981-031,-89.80222221,39.93516301,Quercus shumardii,Quercus,shumardii,,,,A2,AA,1,1981
1981-032,-89.80221123,39.93522235,Quercus shumardii,Quercus,shumardii,,,,A2,AA,2,1981
2010-118,-89.80220544,39.93262673,Quercus shumardii,Quercus,shumardii,,,,A6,OOOA,9,2010
2009-190,-89.80191667,39.93288333,Quercus shumardii,Quercus,shumardii,,,,A6,OOOA,7,2009
1999-042,-89.80087381,39.93403078,Quercus shumardii,Quercus,shumardii,,,,C4,OC,3,1999
2003-055,-89.80032806,39.93497634,Quercus shumardii,Quercus,shumardii,,,,C2,CC,4,2003
2004-059,-89.80030803,39.93481306,Quercus shumardii,Quercus,shumardii,,,,C3,C,4,2004
2017-030,-89.80238188,39.93224812,Quercus sinuata,Quercus,sinuata,,,,A7,OOOOA,4,2017
2005-085,-89.80226864,39.93327431,Quercus sinuata,Quercus,sinuata,sinuata,,,A5,OOA,3,2005
2009-191,-89.8022,39.93276667,Quercus sinuata,Quercus,sinuata,breviloba,,,A6,OOOA,2,2009
2005-084,-89.8021948,39.93328311,Quercus sinuata,Quercus,sinuata,sinuata,,,A5,OOA,2,2005
2009-192,-89.80211667,39.93275,Quercus sinuata,Quercus,sinuata,breviloba,,,A6,OOOA,3,2009
2010-120,-89.8020109,39.93269806,Quercus sinuata,Quercus,sinuata,,,,A6,OOOA,3,2010
2010-119,-89.8019021,39.93278238,Quercus sinuata,Quercus,sinuata,breviloba,,,A6,OOOA,4,2010
2016-032,-89.80184636,39.93221216,Quercus sinuata,Quercus,sinuata,breviloba,?,,A7,OOOOA,5,2016
2016-031,-89.80181434,39.93217905,Quercus sinuata,Quercus,sinuata,breviloba,?,,A7,OOOOA,5,2016
2016-033,-89.80181174,39.9322135,Quercus sinuata,Quercus,sinuata,breviloba,?,,A7,OOOOA,5,2016
2002-045,-89.80130179,39.93389692,Quercus sinuata,Quercus,sinuata,breviloba,,,B4,OB,1,2002
1994-066,-89.80228717,39.93532629,Quercus stellata,Quercus,stellata,,,,A2,AA,3,1994
2006-071,-89.80226604,39.93361915,Quercus stellata,Quercus,stellata,,,,A5,OOA,3,2006
1982-037,-89.80219035,39.93536728,Quercus stellata,Quercus,stellata,,,,A2,AA,1,1982
2015-034,-89.8019047,39.93213982,Quercus stellata,Quercus,stellata,,,,A7,OOOOA,5,2015
2014-078,-89.80182398,39.93250494,Quercus stellata,Quercus,stellata,,,,A6,OOOA,2,2014
2001-058,-89.80145191,39.93423823,Quercus stellata,Quercus,stellata,,,,B4,OB,4,2001
2003-056,-89.80032295,39.93508833,Quercus stellata,Quercus,stellata,,,,C2,CC,3,2003
1998-036,-89.80144,39.935704,Quercus tristis ,Quercus,tristis,,,,Oak Street,Oak Street,1,1998
2021-013,39.93497,-89.8003,Quercus trojana,Quercus,stellata,"""Logo""",,,,,NA,2021
1996-042,-89.80144,39.935704,Quercus trojana ,Quercus,trojana,,,,Oak Street,Oak Street,1,1996
1999-045,-89.80144,39.935704,Quercus trojana ,Quercus,trojana,,,,Oak Street,Oak Street,2,1999
2017-031,-89.80134563,39.93203078,Quercus trojana ,Quercus,trojana,,,,B7,OOOOB,3,2017
2011-065,-89.80126516,39.93401377,Quercus turbinella,Quercus,turbinella, 'Wild Dog',,,B4,OB,1,2011
1995-034,-89.80219983,39.93501725,Quercus variabilis,Quercus,variabilis,,,,A2,AA,1,1995
2010-121,-89.8014333,39.93275061,Quercus variabilis,Quercus,variabilis,,,,B6,OOOB,4,2010
2020-025,39.93193363,-89.80154025,Quercus variabilis,Quercus,variabilis,,,,,,5,
1999-046,-89.80144,39.935704,Quercus vaseyana,Quercus,vaseyana,,,,Oak Street,Oak Street,2,1999
2005-087,-89.80073333,39.9352,Quercus vaseyana,Quercus,vaseyana,,,,C2,CC,1,2005
1900-047,-89.80222472,39.9350724,Quercus velutina,Quercus,velutina,,,,A2,AA,2,spontaneous
2012-069,-89.80216546,39.93233554,Quercus velutina,Quercus,velutina, 'Oakridge Walker',,,A7,OOOOA,1,2012
2009-195,-89.80213333,39.93275,Quercus velutina,Quercus,velutina, 'Oakridge Walker',,,A6,OOOA,1,2009
2015-036,-89.80195172,39.93230461,Quercus velutina,Quercus,velutina,Oakridge Walker',,,A7,OOOOA,1,2015
1900-072,-89.80154,39.93494,Quercus velutina,Quercus,velutina,,,,B2,BB,1,spontaneous
2005-088,-89.80177511,39.93330415,Quercus virgiliana,Quercus,virgiliana,,,,A5,OOA,2,2005
2007-043,-89.80176933,39.93326275,Quercus virgiliana,Quercus,virgiliana,,,,A5,OOA,2,2007
2003-058,-89.80144763,39.93346131,Quercus virgiliana,Quercus,virgiliana,,,,B5,OOB,1,2003
2012-046,-89.80131319,39.93249337,Quercus virgiliana,Quercus,virgiliana,,,,B6,OOOB,3,2012
2004-062,-89.80144,39.935704,Quercus virginiana,Quercus,virginiana,,,,Oak Street,Oak Street,3,2004
2015-037,-89.80133255,39.93214904,Quercus vulcanica,Quercus,vulcanica,Kasnak',,,B7,OOOOB,1,2015
2020-026,-89.80155353,39.93195667,Quercus wutaishanica,Quercus,wutaishanica,,,,,,4,
2019-069,-89.80144,39.9357,Quercus yiwuensis,Quercus,yiwuensis,,,,Oak Street,Oak Street,1,2019
1999-056,-89.80144,39.935704,Quercus yunnanensis,Quercus,yunnanensis,,,,Oak Street,Oak Street,2,1999
